token	lemma	POS	morph	treated
cape	chaper	NOMcom	NOMB.=s|GENRE=f|CAS=r	cape
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
plus	plus	ADVgen	DEGRE=-	plus
tost	tost1	ADVgen	DEGRE=p	tost
de	de	PRE	MORPH=empty	de
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	lui
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
escape	eschaper	VERcjg	NOMB.=s|GENRE=f	escape
.	.	PONfrt	MORPH=empty	.
Par	par	PRE	MORPH=empty	Par
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
maistre	maistre	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	maistre
huis	uis	NOMcom	NOMB.=s|GENRE=m|CAS=r	huis
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
en	en2	PROadv	MORPH=empty	en
va	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	va
fuiant	fuir	VERppa	MORPH=empty	fuiant
,	,	PONfbl	MORPH=empty	,
Ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r	Ses
iex	ueil	NOMcom	NOMB.=p|GENRE=m|CAS=r	iex
et	et	CONcoo	MORPH=empty	et
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
face	face	NOMcom	NOMB.=s|GENRE=f|CAS=r	face
escurant	escurer	VERppa	CAS=r	escurant
Des	de+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r	Des
larmes	larme	NOMcom	NOMB.=p|GENRE=f|CAS=r	larmes
que	que2	PROrel	NOMB.=p|GENRE=f|CAS=r	que
plorees	plorer	VERppe	NOMB.=p|GENRE=f|CAS=r	plorees
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
;	;	PONfbl	MORPH=empty	;
Mais	mais1	CONcoo	MORPH=empty	Mais
de	de	PRE	MORPH=empty	de
Lovel	Lovel	NOMpro	NOMB.=s|GENRE=m|CAS=r	Lovel
mie	mie	ADVneg	MORPH=empty	mie
ne	ne1	ADVneg	MORPH=empty	ne
sot	savoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	sot
,	,	PONfbl	MORPH=empty	,
Son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	Son
boin	bon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	boin
ami	ami	NOMcom	NOMB.=s|GENRE=m|CAS=r	ami
,	,	PONfbl	MORPH=empty	,
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
compaignon	compagnon	NOMcom	NOMB.=s|GENRE=m|CAS=r	compaignon
Que	que2	PROrel	NOMB.=s|GENRE=m|CAS=r	Que
batu	batre	VERppe	NOMB.=s|GENRE=m|CAS=r	batu
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
com	come1	CONsub	MORPH=empty	com
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
waignon	gaignon	NOMcom	NOMB.=s|GENRE=m|CAS=r	waignon
Dans	dan2	NOMcom	NOMB.=s|GENRE=m|CAS=n	Dans
Gonsselins	Gonseignoir	NOMpro	NOMB.=s|GENRE=m|CAS=n	Gonsselins
et	et	CONcoo	MORPH=empty	et
traïné	träiner	VERppe	NOMB.=s|GENRE=m|CAS=n	traïné
Et	et	CONcoo	MORPH=empty	Et
meesmement	mëismement	ADVgen	DEGRE=-	meesmement
ramposné	ramponer	VERppe	NOMB.=s|GENRE=m|CAS=n	ramposné
Del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	Del
pis	pis1	NOMcom	NOMB.=s|GENRE=m|CAS=r	pis
que	que2	PROrel	GENRE=m|CAS=r	que
dire	dire	VERinf	MORPH=empty	dire
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
savoit	savoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	savoit
:	:	PONfbl	MORPH=empty	:
Si	si	ADVgen	DEGRE=-	Si
com	come1	CONsub	MORPH=empty	com
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
leu	lieu	NOMcom	NOMB.=s|GENRE=m|CAS=r	leu
tolu	tolir	VERppe	NOMB.=s|GENRE=m|CAS=r	tolu
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
si	si	ADVgen	DEGRE=-	si
com	come1	CONsub	MORPH=empty	com
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	estoit
loiiés	liier3	VERppe	NOMB.=s|GENRE=m|CAS=n	loiiés
En	en1	PRE	MORPH=empty	En
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
pan	pan1	NOMcom	NOMB.=s|GENRE=m|CAS=r	pan
d'	de	PRE	MORPH=empty	d
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
cote	cote2	NOMcom	NOMB.=s|GENRE=f|CAS=r	cote
viés	viez	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	viés
.	.	PONfrt	MORPH=empty	.
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
vilains	vilain	NOMcom	NOMB.=s|GENRE=m|CAS=n	vilains
tot	tot	ADVgen	DEGRE=-	tot
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
reproca	reprochier1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	reproca
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
que	que4	CONsub	MORPH=empty	que
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
male	mal1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	male
bouce	boche	NOMcom	NOMB.=s|GENRE=f|CAS=r	bouce
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
Et	et	CONcoo	MORPH=empty	Et
dit	dire	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|CAS=r	dit
et	et	CONcoo	MORPH=empty	et
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
pis	pis1	NOMcom	NOMB.=s|GENRE=m|CAS=r	pis
qu'	que2	PROrel	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	puet
Si	si	ADVgen	DEGRE=-	Si
com	come1	CONsub	MORPH=empty	com
de	de	PRE	MORPH=empty	de
nature	nature	NOMcom	NOMB.=s|GENRE=f|CAS=r	nature
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
muet	movoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	muet
;	;	PONfbl	MORPH=empty	;
Et	et	CONcoo	MORPH=empty	Et
ne	ne2	ADVneg	MORPH=empty	ne
por	por2	PRE	MORPH=empty	por
quant	cant1	ADVgen	NOMB.=s|GENRE=m	quant
de	de	PRE	MORPH=empty	de
tant	tant	ADVgen	DEGRE=-	tant
bien	bien1	ADVgen	DEGRE=p	bien
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
,	,	PONfbl	MORPH=empty	,
Sauf	sauf	ADJqua	NOMB.=s|CAS=r	Sauf
çou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	çou
que	que4	CONsub	MORPH=empty	que
garde	garder	NOMcom	MODE=ind|NOMB.=s|GENRE=f	garde
ne	ne1	ADVneg	MORPH=empty	ne
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
en	en2	PROadv	MORPH=empty	en
prist	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	prist
Ne	ne2	CONcoo	MORPH=empty	Ne
bien	bien1	ADVgen	DEGRE=p	bien
faire	faire	VERinf	MORPH=empty	faire
n'	ne1	ADVneg	MORPH=empty	n
i	i2	PROadv	MORPH=empty	i
entendi	entendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	entendi
,	,	PONfbl	MORPH=empty	,
Que	que1	CONsub	MORPH=empty	Que
a	a3	PRE	MORPH=empty	a
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
enfant	enfant	NOMcom	NOMB.=s|GENRE=m|CAS=r	enfant
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
pan	pan1	NOMcom	NOMB.=s|GENRE=m|CAS=r	pan
rendi	rendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	rendi
U	o3	CONcoo	MORPH=empty	U
envolepé	envoleper	VERppe	NOMB.=s|GENRE=m|CAS=r	envolepé
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
trova	trover	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	trova
.	.	PONfrt	MORPH=empty	.
Ensi	ainsi	ADVgen	DEGRE=-	Ensi
mal	mal1	NOMcom	NOMB.=s|GENRE=m	mal
et	et	CONcoo	MORPH=empty	et
bien	bien1	ADVgen	DEGRE=p	bien
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
prova	prover	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	prova
:	:	PONfbl	MORPH=empty	:
Mal	mal1	ADVgen	GENRE=m|DEGRE=-	Mal
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
selonc	selonc	PRE	MORPH=empty	selonc
s'	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	s
entention	intencïon	NOMcom	NOMB.=s|GENRE=f|CAS=r	entention
,	,	PONfbl	MORPH=empty	,
Qu'	que4	CONsub	MORPH=empty	Qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
n'	ne1	ADVneg	MORPH=empty	n
i	i2	PROadv	MORPH=empty	i
entendi	entendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	entendi
se	se	CONsub	MORPH=empty	se
mal	mal1	NOMcom	NOMB.=s|GENRE=m	mal
non	non	ADVneg	MORPH=empty	non
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
bien	bien1	ADVgen	DEGRE=p	bien
,	,	PONfbl	MORPH=empty	,
por	por2	PRE	MORPH=empty	por
çou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	çou
que	que4	PROrel	NOMB.=s	que
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=n	l
enfant	enfant	NOMcom	NOMB.=s|GENRE=m|CAS=n	enfant
pleut	plaire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	pleut
.	.	PONfrt	MORPH=empty	.
Ensi	ainsi	ADVgen	DEGRE=-	Ensi
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
bien	bien1	ADVgen	DEGRE=p	bien
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
si	si	ADVgen	DEGRE=-	si
nel	ne1+il	ADVneg.PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	nel
seut	soloir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	seut
.	.	PONfrt	MORPH=empty	.
Et	et	CONcoo	MORPH=empty	Et
Loviax	Lovilas	NOMpro	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	Loviax
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
si	si	ADVgen	DEGRE=-	si
fort	fort	ADVgen	DEGRE=p	fort
ploroit	plorer	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	ploroit
Que	que4	CONsub	MORPH=empty	Que
tos	tot	ADVgen	NOMB.=s|GENRE=m|CAS=n	tos
jusc'	jusque	ADVgen	MORPH=empty	jusc
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
menton	menton	NOMcom	NOMB.=s|GENRE=m|CAS=r	menton
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	estoit
De	de	PRE	MORPH=empty	De
larmes	larme	NOMcom	NOMB.=p|GENRE=f|CAS=r	larmes
de	de	PRE	MORPH=empty	de
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r	ses
iex	ueil	NOMcom	NOMB.=p|GENRE=m|CAS=r	iex
moilliés	moillier2	VERppe	NOMB.=s|GENRE=m|CAS=r	moilliés
,	,	PONfbl	MORPH=empty	,
S'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	S
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
devant	devant	PRE	MORPH=empty	devant
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	lui
agenoillés	agenoillier	VERppe	NOMB.=s|GENRE=m|CAS=n	agenoillés
;	;	PONfbl	MORPH=empty	;
Si	si	ADVgen	DEGRE=-	Si
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	dist
en	en1	PRE	MORPH=empty	en
plorant	plorer	VERppa	MORPH=empty	plorant
:	:	PONfbl	MORPH=empty	:
«	«	PONfbl	MORPH=empty	«
Biau	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	Biau
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	sire
,	,	PONfbl	MORPH=empty	,
Nouri	norrir	VERppe	NOMB.=s|GENRE=m	Nouri
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
avés	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	avés
,	,	PONfbl	MORPH=empty	,
Diex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	Diex
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
vos	vos	DETpos	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
mire	mire1	NOMcom	TEMPS=pst|NOMB.=s|GENRE=m	mire
!	!	PONfrt	MORPH=empty	!
Moult	mout	ADVgen	DEGRE=-	Moult
doucement	doucement	ADVgen	DEGRE=p	doucement
dusques	dusque	ADVgen	MORPH=empty	dusques
en	en1	PRE	MORPH=empty	en
ci	ci	ADVgen	DEGRE=-	ci
:	:	PONfbl	MORPH=empty	:
Or	or4	ADVgen	DEGRE=-	Or
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
pri	priier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	pri
,	,	PONfbl	MORPH=empty	,
le	le	DETdef	NOMB.=s|GENRE=f|CAS=r	le
vostre	vostre	ADJpos	PERS.=2|NOMB.=s|GENRE=m|CAS=r	vostre
merci	merci	NOMcom	NOMB.=s|GENRE=f|CAS=r	merci
,	,	PONfbl	MORPH=empty	,
Car	car	CONcoo	MORPH=empty	Car
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	m
estuet	estovoir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	estuet
que	que4	CONsub	MORPH=empty	que
jou	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	jou
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
en	en2	PROadv	MORPH=empty	en
aille	aler	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s	aille
,	,	PONfbl	MORPH=empty	,
Vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	Vos
pri	priier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	pri
k'	que4	CONsub	MORPH=empty	k
a	a3	PRE	MORPH=empty	a
ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=r	ceste
desevraille	dessevraille	NOMcom	NOMB.=s|GENRE=f|CAS=r	desevraille
Me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	Me
donés	doner	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	donés
congié	congié	NOMcom	NOMB.=s|GENRE=m|CAS=r	congié
sans	sans	PRE	MORPH=empty	sans
courous	corroços	ADJqua	NOMB.=s|GENRE=m|CAS=r	courous
;	;	PONfbl	MORPH=empty	;
Car	car	CONcoo	MORPH=empty	Car
certes	certes	ADVgen	DEGRE=-	certes
,	,	PONfbl	MORPH=empty	,
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
vostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=n	vostre
tous	tot	PROind	NOMB.=s|GENRE=m|CAS=n	tous
,	,	PONfbl	MORPH=empty	,
Sui	estre1	VERcjg	MODE=ind|PERS.=1|NOMB.=s	Sui
et	et	CONcoo	MORPH=empty	et
serai	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s|GENRE=m	serai
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
sel	si+il	ADVgen.PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	sel
doi	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	doi
estre	estre1	VERinf	MORPH=empty	estre
.	.	PONfrt	MORPH=empty	.
On	on	PROind	NOMB.=s|GENRE=n|CAS=n	On
ne	ne1	ADVneg	MORPH=empty	ne
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	doit
pas	pas	ADVneg	MORPH=empty	pas
haïr	häir	VERinf	MORPH=empty	haïr
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
maistre	maistre	NOMcom	NOMB.=s|GENRE=m|CAS=r	maistre
Ne	ne2	CONcoo	MORPH=empty	Ne
despire	despire	VERinf	MODE=ind|PERS.=3	despire
ne	ne2	CONcoo	MORPH=empty	ne
desdaignier	desdeignier	VERinf	MORPH=empty	desdaignier
,	,	PONfbl	MORPH=empty	,
S'	se	CONsub	MORPH=empty	S
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
bat	batre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	bat
por	por2	PRE	MORPH=empty	por
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	lui
enseignier	enseignier	VERinf	MORPH=empty	enseignier
;	;	PONfbl	MORPH=empty	;
Et	et	CONcoo	MORPH=empty	Et
mauvaise	mauvais	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	mauvaise
nature	nature	NOMcom	NOMB.=s|GENRE=f|CAS=r	nature
proeve	prover	VERcjg	TEMPS=pst|PERS.=3|NOMB.=s|CAS=r	proeve
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n	hom
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
en	en1	PRE	MORPH=empty	en
autre	autre	DETind	NOMB.=s|GENRE=m|CAS=r	autre
bien	bien2	NOMcom	NOMB.=s|CAS=r	bien
troeve	trover	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	troeve
Et	et	CONcoo	MORPH=empty	Et
mainte	maint	DETind	NOMB.=s|GENRE=f|CAS=r	mainte
fois	foiz	NOMcom	NOMB.=s|GENRE=f|CAS=r	fois
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
bien	bien1	ADVgen	DEGRE=p	bien
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r	fait
,	,	PONfbl	MORPH=empty	,
Se	se	CONsub	MORPH=empty	Se
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
pert	perdre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	pert
por	por2	PRE	MORPH=empty	por
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
mesfait	mesfait	NOMcom	NOMB.=s|GENRE=m|CAS=r	mesfait
.	.	PONfrt	MORPH=empty	.
Vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	Vos
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
tant	tant	ADVgen	DEGRE=-	tant
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
aviés	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=2|NOMB.=p	aviés
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r	fait
de	de	PRE	MORPH=empty	de
bien	bien1	NOMcom	NOMB.=s|GENRE=m|CAS=r	bien
,	,	PONfbl	MORPH=empty	,
De	de	PRE	MORPH=empty	De
ço	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ço
ne	ne1	ADVneg	MORPH=empty	ne
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
deviés	devoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=2|NOMB.=p	deviés
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
rien	rien	PROind	NOMB.=s|GENRE=f|CAS=r	rien
,	,	PONfbl	MORPH=empty	,
S'	se	CONsub	MORPH=empty	S
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ne	ne1	ADVneg	MORPH=empty	ne
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
venist	venir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	venist
de	de	PRE	MORPH=empty	de
francise	franchise	NOMcom	NOMB.=s|GENRE=f|CAS=r	francise
;	;	PONfbl	MORPH=empty	;
S'	se	ADVgen	MORPH=empty	S
avés	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	avés
en	en1	PRE	MORPH=empty	en
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
tel	tel	DETind	NOMB.=s|GENRE=f|CAS=r	tel
paine	peine	NOMcom	NOMB.=s|GENRE=f|CAS=r	paine
mise	metre2	VERppe	NOMB.=s|GENRE=f|CAS=r	mise
Que	que4	CONsub	MORPH=empty	Que
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
com	come1	CONsub	MORPH=empty	com
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sai
or	or4	ADVgen	DEGRE=-	or
primes	prim	ADVgen	NOMB.=s|DEGRE=-	primes
,	,	PONfbl	MORPH=empty	,
M'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	M
avés	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	avés
rendu	rendre	VERppe	NOMB.=s|GENRE=m|CAS=r	rendu
a	a3	PRE	MORPH=empty	a
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	moi
meïsmes	mëisme	ADJind	NOMB.=s|GENRE=m|CAS=r	meïsmes
:	:	PONfbl	MORPH=empty	:
Donc	donc	ADVgen	DEGRE=-	Donc
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
jou	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	jou
le	le	DETdef	NOMB.=s|GENRE=f|CAS=r	le
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r	vie
par	par	PRE	MORPH=empty	par
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vous
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
tolue	tolir	VERppe	NOMB.=s|GENRE=f|CAS=r	tolue
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
eüst	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	eüst
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
lous	los1	NOMcom	NOMB.=s|GENRE=m|CAS=n	lous
Quant	cant1	CONsub	MORPH=empty	Quant
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
tolistes	tolir	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p	tolistes
a	a3	PRE	MORPH=empty	a
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	lui
.	.	PONfrt	MORPH=empty	.
Çou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	Çou
que	que2	PROrel	NOMB.=s|GENRE=n	que
jou	je	PROper.PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	jou
vif	vivre1	VERcjg	TEMPS=pst|PERS.=1|NOMB.=s|GENRE=m|DEGRE=p	vif
et	et	CONcoo	MORPH=empty	et
que	que4	CONsub	MORPH=empty	que
jou	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	jou
sui	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sui
,	,	PONfbl	MORPH=empty	,
Sui	estre1	VERcjg	MODE=ind|PERS.=1|NOMB.=s	Sui
jou	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	jou
par	par	PRE	MORPH=empty	par
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vos
,	,	PONfbl	MORPH=empty	,
tres	très	ADVgen	DEGRE=-	tres
bien	bien1	ADVgen	DEGRE=p	bien
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
otroi	otroi	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	otroi
,	,	PONfbl	MORPH=empty	,
Puis	puis	ADVgen	DEGRE=-	Puis
que	que4	CONsub	MORPH=empty	que
tant	tant	ADVgen	DEGRE=-	tant
aves	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	aves
fait	faire	VERppe	NOMB.=s|GENRE=m|CAS=r	fait
por	por2	PRE	MORPH=empty	por
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	moi
Que	que4	CONsub	MORPH=empty	Que
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
ostastes	oster2	VERcjg	MODE=ind|TEMPS=psp|PERS.=2|NOMB.=p	ostastes
