token	lemma	POS	morph	treated
Atant	atant	ADVgen	DEGRE=-	Atant
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
reïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=r	reïne
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
an	en2	PROadv	MORPH=empty	an
va	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	va
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
lesse	laissier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	lesse
de	de	PRE	MORPH=empty	de
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=r	ses
puceles	pucele	NOMcom	NOMB.=p|GENRE=f|CAS=r	puceles
bien	bien1	ADVgen	DEGRE=p	bien
.	.	PONfrt	MORPH=empty	.
c	100	PROdem	NOMB.=p|CAS=n	c
.	.	PONfrt	MORPH=empty	.
.	.	PONfrt	MORPH=empty	.
l	cincante	DETdef	NOMB.=s|GENRE=m|CAS=r	l
.	.	PONfrt	MORPH=empty	.
des	de+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r	des
plus	plus	ADVgen	DEGRE=c	plus
beles	bel1	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p	beles
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=p|GENRE=f|CAS=n	qui
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	el
palés	palais2	NOMcom	NOMB.=s|GENRE=m|CAS=r	palés
lez	lez	PRE	MORPH=empty	lez
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	lui
mangierent	mangier	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	mangierent
,	,	PONfbl	MORPH=empty	,
sel	si+il	ADVgen.PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r	sel
servirent	servir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	servirent
et	et	CONcoo	MORPH=empty	et
losangierent	losengier2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	losangierent
de	de	PRE	MORPH=empty	de
quanque	cantque	PROrel	NOMB.=s|GENRE=n|CAS=r	quanque
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vint
a	a3	PRE	MORPH=empty	a
talant	talent	NOMcom	NOMB.=s|GENRE=m|CAS=r	talant
.	.	PONfrt	MORPH=empty	.
Vaslet	vaslet	NOMcom	NOMB.=s|GENRE=m|CAS=n	Vaslet
servirent	servir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	servirent
plus	plus	ADVgen	DEGRE=-	plus
de	de	PRE	MORPH=empty	de
cent	cent	PROcar	NOMB.=p|GENRE=m|CAS=r	cent
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
mangier	mangier	NOMcom	NOMB.=s|CAS=r	mangier
,	,	PONfbl	MORPH=empty	,
don	dont	PROrel	GENRE=m	don
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n	li
un	un	PROind	NOMB.=p|GENRE=m|CAS=n	un
estoient	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	estoient
tuit	tot	PROind	NOMB.=p|GENRE=m|CAS=n	tuit
blanc	blanc	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p	blanc
,	,	PONfbl	MORPH=empty	,
[	[	PONfbl	MORPH=empty	[
.	.	PONfrt	MORPH=empty	.
.	.	PONfrt	MORPH=empty	.
.	.	PONfrt	MORPH=empty	.
]	]	PONfbl	MORPH=empty	]
[	[	PONfbl	MORPH=empty	[
.	.	PONfrt	MORPH=empty	.
.	.	PONfrt	MORPH=empty	.
.	.	PONfrt	MORPH=empty	.
]	]	PONfbl	MORPH=empty	]
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n	li
autre	autre	PROind	NOMB.=p|GENRE=m|CAS=n	autre
non	non	NOMcom	MORPH=empty	non
;	;	PONfbl	MORPH=empty	;
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n	li
altre	autre	ADJind	NOMB.=p|GENRE=m|CAS=n	altre
barbe	barbe	NOMcom	NOMB.=s|GENRE=f|CAS=n	barbe
ne	ne2	CONcoo	MORPH=empty	ne
grenon	grenon	NOMcom	NOMB.=p|GENRE=m|CAS=n	grenon
n'	ne1	ADVneg	MORPH=empty	n
avoient	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	avoient
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
cez	ce2	PROdem	NOMB.=p|GENRE=m|CAS=r	cez
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n	li
dui	deus	PROcar	NOMB.=p|GENRE=m|CAS=n	dui
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	furent
a	a3	PRE	MORPH=empty	a
genolz	genoil	NOMcom	NOMB.=p|GENRE=m|CAS=r	genolz
amedui	ambedos	PROcar	NOMB.=p|GENRE=m|CAS=n	amedui
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
servi	servir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	servi
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
uns	un	PROind	NOMB.=s|GENRE=m|CAS=n	uns
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	del
taillier	taillier1	VERinf	NOMB.=s|GENRE=m	taillier
et	et	CONcoo	MORPH=empty	et
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
autres	autre	PROind	NOMB.=s|GENRE=m|CAS=n	autres
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	del
vin	vin	NOMcom	NOMB.=s|GENRE=m|CAS=r	vin
baillier	baillier	VERinf	MORPH=empty	baillier
.	.	PONfrt	MORPH=empty	.
Messire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Messire
Gauvains	Gauvain	NOMpro	NOMB.=s|GENRE=m|CAS=n	Gauvains
coste	coste2	NOMcom	NOMB.=s|GENRE=f|CAS=n	coste
a	a3	PRE	MORPH=empty	a
coste	coste2	NOMcom	NOMB.=s|GENRE=f|CAS=r	coste
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
devant	devant	PRE	MORPH=empty	devant
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	lui
mangier	mangier	VERinf	MORPH=empty	mangier
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
oste	oste	NOMcom	NOMB.=s|GENRE=m|CAS=r	oste
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
mangiers	mangier	VERinf	NOMB.=s|GENRE=m|CAS=n	mangiers
ne	ne1	ADVneg	MORPH=empty	ne
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
pas	pas	ADVneg	MORPH=empty	pas
corz	cort2	ADJqua	NOMB.=s|GENRE=m|CAS=n	corz
,	,	PONfbl	MORPH=empty	,
qu'	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
dura	durer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	dura
plus	plus	ADVgen	DEGRE=-	plus
que	que1	CONsub	MORPH=empty	que
uns	un	PROind	NOMB.=s|GENRE=m|CAS=n	uns
des	de+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r	des
jorz	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r	jorz
antor	entor	PRE	DEGRE=-	antor
Natevité	nativité	NOMcom	NOMB.=s|GENRE=f|CAS=n	Natevité
ne	ne1	ADVneg	MORPH=empty	ne
dure	durer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dure
,	,	PONfbl	MORPH=empty	,
qu'	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
nuiz	nuit	NOMcom	NOMB.=s|GENRE=f|CAS=n	nuiz
serree	serrer	VERppe	NOMB.=s|GENRE=f|CAS=n	serree
et	et	CONcoo	MORPH=empty	et
oscure	oscur	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	oscure
et	et	CONcoo	MORPH=empty	et
mout	mout	ADVgen	DEGRE=-	mout
i	i2	PROadv	MORPH=empty	i
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
ars	ardre	VERppe	NOMB.=s|GENRE=m|CAS=n	ars
gros	gros	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	gros
tortiz	tortiz	NOMcom	NOMB.=s|GENRE=m|CAS=r	tortiz
einz	ainz	ADVgen	DEGRE=-	einz
que	que4	CONsub	MORPH=empty	que
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
mangiers	mangier	NOMcom	NOMB.=s|GENRE=m|CAS=n	mangiers
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	fust
feniz	fenir	VERppe	NOMB.=s|GENRE=m|CAS=n	feniz
.	.	PONfrt	MORPH=empty	.
Aprés	après	PRE	MORPH=empty	Aprés
mangier	mangier	VERinf	MORPH=empty	mangier
,	,	PONfbl	MORPH=empty	,
einz	ainz	ADVgen	DEGRE=-	einz
qu'	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n	il
colchassent	couchier	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=p	colchassent
,	,	PONfbl	MORPH=empty	,
de	de	PRE	MORPH=empty	de
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
faire	faire	VERinf	MORPH=empty	faire
tuit	tot	PROind	NOMB.=p|GENRE=m|CAS=n	tuit
se	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r	se
lassent	lasser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	lassent
por	por2	PRE	MORPH=empty	por
lor	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r	lor
seignor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r	seignor
qu'	que2	PROrel	CAS=r	qu
il	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n	il
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	ont
mout	mout	ADVgen	DEGRE=-	mout
chier	chier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	chier
.	.	PONfrt	MORPH=empty	.
Ençois	ainçois	ADVgen	DEGRE=-	Ençois
que	que4	CONsub	MORPH=empty	que
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
alast	aler	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	alast
colchier	couchier	VERinf	MORPH=empty	colchier
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
jut	jesir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	jut
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	el
Lit	lit1	NOMcom	NOMB.=s|GENRE=m|CAS=r	Lit
de	de	PRE	MORPH=empty	de
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
Mervoille	merveille	NOMcom	NOMB.=s|GENRE=f|CAS=r	Mervoille
.	.	PONfrt	MORPH=empty	.
.I.	un	DETndf	NOMB.=s|GENRE=m|CAS=r	.I.
orellier	oreillier3	NOMcom	NOMB.=s|GENRE=m|CAS=r	orellier
desoz	desoz	PRE	MORPH=empty	desoz
s'	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	s
oroille	oreille	NOMcom	TEMPS=pst|NOMB.=s	oroille
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
dameisele	damoisele	NOMcom	NOMB.=s|GENRE=f|CAS=r	dameisele
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
mist	metre2	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	mist
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
ilueques	iluec	ADVgen	DEGRE=-	ilueques
dormir	dormir	VERinf	MORPH=empty	dormir
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
;	;	PONfbl	MORPH=empty	;
et	et	CONcoo	MORPH=empty	et
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
andemain	endemain	NOMcom	NOMB.=s|GENRE=m|CAS=r	andemain
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
resvellier	resveillier	VERinf	NOMB.=s|GENRE=m|CAS=r	resvellier
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
an	en2	PROind	MORPH=empty	an
fet	faire	VERppe	PERS.=3|NOMB.=s|GENRE=m|CAS=r	fet
aparellier	apareillier1	VERinf	MORPH=empty	aparellier
robe	robe	NOMcom	NOMB.=s|GENRE=f|CAS=r	robe
d'	de	PRE	MORPH=empty	d
ermine	ermine	NOMcom	NOMB.=s|GENRE=f|CAS=r	ermine
et	et	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
samit	samit	NOMcom	NOMB.=s|GENRE=m|CAS=r	samit
.	.	PONfrt	MORPH=empty	.
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
notoniers	notonier	NOMcom	NOMB.=s|GENRE=m|CAS=n	notoniers
devant	devant	PRE	MORPH=empty	devant
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
lit	lit1	NOMcom	NOMB.=s|GENRE=m|CAS=r	lit
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
matin	matin2	NOMcom	NOMB.=s|GENRE=m|CAS=r	matin
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vint
,	,	PONfbl	MORPH=empty	,
sel	si+il	ADVgen.PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	sel
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
lever	lever	VERinf	MORPH=empty	lever
et	et	CONcoo	MORPH=empty	et
vestir	vestir	VERinf	MORPH=empty	vestir
et	et	CONcoo	MORPH=empty	et
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=f|CAS=r	ses
mains	main2	NOMcom	NOMB.=p|GENRE=f|CAS=r	mains
laver	laver	VERinf	MORPH=empty	laver
.	.	PONfrt	MORPH=empty	.
A	a3	PRE	MORPH=empty	A
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
lever	lever	VERinf	NOMB.=s|GENRE=m|CAS=r	lever
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
Clarissanz	Clarissant	NOMpro	NOMB.=s|GENRE=m|CAS=n	Clarissanz
,	,	PONfbl	MORPH=empty	,
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
granz	grant	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	granz
,	,	PONfbl	MORPH=empty	,
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
bele	bel1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	bele
,	,	PONfbl	MORPH=empty	,
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=n	l
avenanz	avenant	VERppa	NOMB.=s|GENRE=m|CAS=n	avenanz
,	,	PONfbl	MORPH=empty	,
la	le	DETdef	NOMB.=s|GENRE=f|CAS=n	la
sage	sage	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	sage
,	,	PONfbl	MORPH=empty	,
la	le	DETdef	NOMB.=s|CAS=n	la
bien	bien1	ADVgen	DEGRE=p	bien
anparlee	emparlé	VERppe	NOMB.=s|GENRE=f|CAS=n	anparlee
.	.	PONfrt	MORPH=empty	.
An	en1	PRE	MORPH=empty	An
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
chanbre	chambre1	NOMcom	NOMB.=s|GENRE=f|CAS=r	chanbre
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
an	en2	PROadv	MORPH=empty	an
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
alee	aler	VERppe	NOMB.=s|GENRE=f|CAS=n	alee
devant	devant	PRE	MORPH=empty	devant
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
reïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=r	reïne
s'	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
aiole	aiuele	NOMcom	TEMPS=pst|PERS.=3|NOMB.=s	aiole
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
demande	demander	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	demande
et	et	CONcoo	MORPH=empty	et
si	si	ADVgen	DEGRE=-	si
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
acole	acoler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	acole
:	:	PONfbl	MORPH=empty	:
"	"	PONfbl	MORPH=empty	"
Niece	niece	NOMcom	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	Niece
,	,	PONfbl	MORPH=empty	,
foi	foi	NOMcom	NOMB.=s|GENRE=f|CAS=r	foi
que	que2	PROrel	NOMB.=s|GENRE=f	que
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
devez	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	devez
,	,	PONfbl	MORPH=empty	,
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
vostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=m|CAS=n	vostre
sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	sire
ancor	encore	ADVgen	DEGRE=-	ancor
levez	lever	VERppe	NOMB.=s|GENRE=m|CAS=n	levez
?	?	PONfrt	MORPH=empty	?
-	-	PONfbl	MORPH=empty	-
Oïl	öil	ADVgen	DEGRE=-	Oïl
,	,	PONfbl	MORPH=empty	,
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=r	dame
,	,	PONfbl	MORPH=empty	,
mout	mout	ADVgen	DEGRE=-	mout
a	a3	VERcjg	MODE=ind|PERS.=3	a
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
piece	piece	NOMcom	NOMB.=s|GENRE=f|CAS=r	piece
.	.	PONfrt	MORPH=empty	.
-	-	PONfbl	MORPH=empty	-
Et	et	CONcoo	MORPH=empty	Et
ou	où	PROint	MORPH=empty	ou
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
,	,	PONfbl	MORPH=empty	,
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
bele	bel1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	bele
niece	niece	NOMcom	NOMB.=s|GENRE=f|CAS=n	niece
?	?	PONfrt	MORPH=empty	?
-	-	PONfbl	MORPH=empty	-
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	Dame
,	,	PONfbl	MORPH=empty	,
an	en1	PRE	MORPH=empty	an
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
tornele	tornele1	NOMcom	NOMB.=s|GENRE=f|CAS=r	tornele
en	en2	PROadv	MORPH=empty	en
ala	aler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ala
,	,	PONfbl	MORPH=empty	,
ne	ne1	ADVneg	MORPH=empty	ne
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sai
se	se	CONsub	MORPH=empty	se
puis	puis	ADVgen	DEGRE=-	puis
en	en2	PROadv	MORPH=empty	en
avala	avaler	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	avala
.	.	PONfrt	MORPH=empty	.
-	-	PONfbl	MORPH=empty	-
Niece	niece	NOMcom	NOMB.=s|GENRE=f|CAS=r	Niece
,	,	PONfbl	MORPH=empty	,
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
voel	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voel
aler	aler	VERinf	MORPH=empty	aler
a	a3	PRE	MORPH=empty	a
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	lui
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
,	,	PONfbl	MORPH=empty	,
se	se	CONsub	MORPH=empty	se
Deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Deu
plest	plaire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	plest
,	,	PONfbl	MORPH=empty	,
n'	ne1	ADVneg	MORPH=empty	n
avra	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	avra
mes	mais1	ADVgen	DEGRE=-	mes
hui	ui	ADVgen	DEGRE=-	hui
se	se	CONsub	MORPH=empty	se
bien	bien2	NOMcom	NOMB.=s|DEGRE=p	bien
non	non	ADVneg	GENRE=m	non
et	et	CONcoo	MORPH=empty	et
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
et	et	CONcoo	MORPH=empty	et
leesce	lëece	NOMcom	NOMB.=s|GENRE=f|CAS=r	leesce
.	.	PONfrt	MORPH=empty	.
"	"	PONfbl	MORPH=empty	"
Tantost	tantost	ADVgen	DEGRE=-	Tantost
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
reïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=n	reïne
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
dresce	drecier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dresce
,	,	PONfbl	MORPH=empty	,
que	que4	CONsub	MORPH=empty	que
talant	talent	NOMcom	NOMB.=s|GENRE=m|CAS=r	talant
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
que	que4	CONsub	MORPH=empty	que
a	a3	PRE	MORPH=empty	a
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	lui
aut	aler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	aut
,	,	PONfbl	MORPH=empty	,
tant	tant	ADVgen	DEGRE=-	tant
qu'	que4	CONsub	MORPH=empty	qu
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
trova	trover	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	trova
an	en1	PRE	MORPH=empty	an
haut	haut	ADJqua	CAS=r|DEGRE=p	haut
,	,	PONfbl	MORPH=empty	,
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r	as
fenestres	fenestre	NOMcom	NOMB.=p|GENRE=f|CAS=r	fenestres
d'	de	PRE	MORPH=empty	d
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
tornele	tornele1	NOMcom	NOMB.=s|GENRE=f|CAS=r	tornele
ou	où	PROrel	MORPH=empty	ou
esgardoit	esgarder	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	esgardoit
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
pucele	pucele	NOMcom	NOMB.=s|GENRE=f|CAS=r	pucele
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
venoit	venir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	venoit
tot	tot	ADVgen	DEGRE=-	tot
aval	aval	ADVgen	DEGRE=-	aval
.	.	PONfrt	MORPH=empty	.
i	i2	PROadv	MORPH=empty	i
.	.	PONfrt	MORPH=empty	.
pré	pré	NOMcom	NOMB.=s|GENRE=m|CAS=r	pré
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
.	.	PONfrt	MORPH=empty	.
i	i2	PROadv	MORPH=empty	i
.	.	PONfrt	MORPH=empty	.
chevalier	chevalier	NOMcom	NOMB.=s|GENRE=m|CAS=r	chevalier
vit	vëoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vit
armé	armer	VERppe	NOMB.=s|GENRE=m|CAS=r	armé
.	.	PONfrt	MORPH=empty	.
La	là	ADVgen	DEGRE=-	La
ou	où	PROrel	MORPH=empty	ou
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	ert
an	en1	PRE	MORPH=empty	an
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
esgart	esgart	NOMcom	NOMB.=s|GENRE=m|CAS=r	esgart
,	,	PONfbl	MORPH=empty	,
atant	atant	ADVgen	DEGRE=-	atant
ez	ez	ADVgen	DEGRE=-	ez
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
de	de	PRE	MORPH=empty	de
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
autre	autre	ADJind	NOMB.=s|GENRE=f|CAS=r	autre
part	part1	NOMcom	NOMB.=s|GENRE=f|CAS=r	part
les	le	PROper	NOMB.=p|GENRE=f|CAS=r	les
.	.	PONfrt	MORPH=empty	.
ii	2	PROcar	MORPH=empty	ii
.	.	PONfrt	MORPH=empty	.
reïnes	röine1	NOMcom	NOMB.=p|GENRE=f|CAS=r	reïnes
coste	coster1	NOMcom	TEMPS=pst|NOMB.=s|GENRE=f|CAS=r	coste
a	a3	PRE	MORPH=empty	a
coste	coste2	NOMcom	NOMB.=s|GENRE=m|CAS=r	coste
;	;	PONfbl	MORPH=empty	;
monseignor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=r	monseignor
Gauvain	Gauvain	NOMpro	NOMB.=s|GENRE=m|CAS=r	Gauvain
et	et	CONcoo	MORPH=empty	et
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
oste	oste	NOMcom	NOMB.=s|GENRE=m|CAS=r	oste
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	ont
a	a3	PRE	MORPH=empty	a
.	.	PONfrt	MORPH=empty	.
